Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0051482	GO:0051482	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway	1.807e-05	0.000e+00	5.356e+00	4.402e-06
GO:0051482	GO:0051481	negative regulation of cytosolic calcium ion concentration	2.772e-03	0.000e+00	5.815e+00	1.530e-06
GO:0051482	GO:0006879	cellular iron ion homeostasis	3.939e-04	0.000e+00	3.421e+00	3.790e-04
GO:0051482	GO:0055072	iron ion homeostasis	4.008e-04	0.000e+00	3.198e+00	6.339e-04
GO:0051482	GO:0006878	cellular copper ion homeostasis	7.251e-03	0.000e+00	3.961e+00	1.094e-04
GO:0051482	GO:0080144	amino acid homeostasis	1.153e-02	0.000e+00	5.754e+00	1.762e-06
GO:0051482	GO:0055078	sodium ion homeostasis	2.641e-03	0.000e+00	5.148e+00	7.114e-06
GO:0051482	GO:0055067	monovalent inorganic cation homeostasis	5.394e-03	0.000e+00	3.680e+00	2.088e-04
GO:0060075	GO:0060075	regulation of resting membrane potential	1.809e-05	0.000e+00	6.010e+00	9.765e-07
GO:0060075	GO:0099623	regulation of cardiac muscle cell membrane repolarization	4.797e-03	0.000e+00	5.287e+00	5.161e-06
GO:0060075	GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization	3.531e-04	0.000e+00	5.396e+00	4.021e-06
GO:0060075	GO:1904181	positive regulation of membrane depolarization	1.041e-02	0.000e+00	5.883e+00	1.308e-06
GO:0060075	GO:0045759	negative regulation of action potential	1.072e-03	0.000e+00	6.188e+00	6.485e-07
GO:0060075	GO:0051901	positive regulation of mitochondrial depolarization	9.670e-03	0.000e+00	5.894e+00	1.278e-06
GO:0006553	GO:0006553	lysine metabolic process	1.844e-05	0.000e+00	2.382e+00	4.149e-03
GO:0006553	GO:0009066	aspartate family amino acid metabolic process	1.064e-02	0.000e+00	2.036e+00	9.213e-03
GO:0006553	GO:0006566	threonine metabolic process	4.978e-03	0.000e+00	2.722e+00	1.898e-03
GO:0006553	GO:0006554	lysine catabolic process	1.320e-04	0.000e+00	3.633e+00	2.329e-04
GO:0006553	GO:0009068	aspartate family amino acid catabolic process	1.465e-03	0.000e+00	3.272e+00	5.340e-04
GO:0060457	GO:0060457	negative regulation of digestive system process	1.920e-05	0.000e+00	5.632e+00	2.335e-06
GO:0060457	GO:0044058	regulation of digestive system process	2.780e-05	0.000e+00	5.212e+00	6.141e-06
GO:0060457	GO:0060453	regulation of gastric acid secretion	4.854e-05	0.000e+00	6.138e+00	7.286e-07
GO:0060457	GO:0090186	regulation of pancreatic juice secretion	6.711e-04	0.000e+00	6.115e+00	7.667e-07
GO:0060457	GO:0031644	regulation of nervous system process	1.040e-03	0.000e+00	4.718e+00	1.916e-05
GO:0060457	GO:0031646	positive regulation of nervous system process	9.060e-03	0.000e+00	5.323e+00	4.749e-06
GO:0060457	GO:0031643	positive regulation of myelination	1.671e-02	0.000e+00	5.633e+00	2.327e-06
GO:0034113	GO:0034113	heterotypic cell-cell adhesion	2.084e-05	0.000e+00	5.291e+00	5.115e-06
GO:0034113	GO:0034109	homotypic cell-cell adhesion	1.341e-03	0.000e+00	4.962e+00	1.092e-05
GO:0034113	GO:0044331	cell-cell adhesion mediated by cadherin	4.483e-05	0.000e+00	5.737e+00	1.831e-06
GO:0034113	GO:0060710	chorio-allantoic fusion	4.626e-05	0.000e+00	6.076e+00	8.392e-07
GO:0034113	GO:0016338	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	5.190e-03	0.000e+00	5.946e+00	1.133e-06
GO:0034113	GO:0090136	epithelial cell-cell adhesion	1.374e-02	0.000e+00	5.437e+00	3.658e-06
GO:0034113	GO:0070486	leukocyte aggregation	2.297e-05	0.000e+00	5.660e+00	2.190e-06
GO:0034113	GO:0071593	lymphocyte aggregation	1.562e-04	0.000e+00	6.051e+00	8.888e-07
GO:0034113	GO:0050901	leukocyte tethering or rolling	1.907e-02	0.000e+00	5.412e+00	3.876e-06
GO:0042755	GO:0042755	eating behavior	2.094e-05	0.000e+00	5.374e+00	4.227e-06
GO:0042755	GO:0002023	reduction of food intake in response to dietary excess	2.245e-03	0.000e+00	6.024e+00	9.460e-07
GO:0042755	GO:0001967	suckling behavior	5.684e-03	0.000e+00	5.718e+00	1.915e-06
GO:0042755	GO:0042756	drinking behavior	1.661e-02	0.000e+00	6.014e+00	9.689e-07
GO:0042755	GO:0090659	walking behavior	1.045e-04	0.000e+00	5.179e+00	6.626e-06
GO:0042755	GO:0007628	adult walking behavior	3.863e-04	0.000e+00	5.204e+00	6.252e-06
GO:0042755	GO:0007625	grooming behavior	1.332e-02	0.000e+00	5.654e+00	2.216e-06
GO:0042755	GO:0048266	behavioral response to pain	4.967e-05	0.000e+00	5.549e+00	2.823e-06
GO:0042755	GO:0007631	feeding behavior	6.458e-04	0.000e+00	4.657e+00	2.205e-05
GO:0042755	GO:0035095	behavioral response to nicotine	4.540e-04	0.000e+00	5.698e+00	2.006e-06
GO:0042755	GO:0008344	adult locomotory behavior	1.567e-02	0.000e+00	4.686e+00	2.061e-05
GO:0042755	GO:0048149	behavioral response to ethanol	1.774e-02	0.000e+00	5.427e+00	3.742e-06
GO:0061309	GO:0061309	cardiac neural crest cell development involved in outflow tract morphogenesis	2.189e-05	0.000e+00	6.147e+00	7.133e-07
GO:0061309	GO:0061308	cardiac neural crest cell development involved in heart development	2.232e-04	0.000e+00	5.909e+00	1.232e-06
GO:0061309	GO:0048864	stem cell development	9.907e-04	0.000e+00	4.946e+00	1.133e-05
GO:0061309	GO:0014031	mesenchymal cell development	9.170e-04	0.000e+00	4.947e+00	1.130e-05
GO:0061309	GO:0014032	neural crest cell development	2.306e-03	0.000e+00	4.991e+00	1.021e-05
GO:0002532	GO:0002532	production of molecular mediator involved in inflammatory response	2.269e-05	0.000e+00	5.490e+00	3.235e-06
GO:0002532	GO:0002534	cytokine production involved in inflammatory response	1.221e-03	0.000e+00	6.332e+00	4.654e-07
GO:0002532	GO:0002536	respiratory burst involved in inflammatory response	9.944e-04	0.000e+00	6.839e+00	1.450e-07
GO:0002532	GO:0002349	histamine production involved in inflammatory response	6.157e-03	0.000e+00	8.419e+00	3.815e-09
GO:0072201	GO:0072201	negative regulation of mesenchymal cell proliferation	2.286e-05	0.000e+00	5.759e+00	1.743e-06
GO:0072201	GO:0010464	regulation of mesenchymal cell proliferation	1.286e-02	0.000e+00	5.182e+00	6.584e-06
GO:0072201	GO:0070664	negative regulation of leukocyte proliferation	3.191e-04	0.000e+00	4.755e+00	1.757e-05
GO:0072201	GO:0032945	negative regulation of mononuclear cell proliferation	6.790e-04	0.000e+00	4.777e+00	1.672e-05
GO:0072201	GO:0050672	negative regulation of lymphocyte proliferation	6.790e-04	0.000e+00	4.782e+00	1.651e-05
GO:0072201	GO:0042130	negative regulation of T cell proliferation	4.113e-03	0.000e+00	4.904e+00	1.246e-05
GO:0008207	GO:0008207	C21-steroid hormone metabolic process	2.369e-05	0.000e+00	5.085e+00	8.228e-06
GO:0008207	GO:0006700	C21-steroid hormone biosynthetic process	1.797e-04	0.000e+00	5.456e+00	3.502e-06
GO:0008207	GO:0042448	progesterone metabolic process	1.467e-04	0.000e+00	5.625e+00	2.369e-06
GO:0008207	GO:0034754	cellular hormone metabolic process	1.701e-04	0.000e+00	3.486e+00	3.264e-04
GO:0008207	GO:0042446	hormone biosynthetic process	1.006e-04	0.000e+00	3.532e+00	2.936e-04
GO:0008207	GO:0042445	hormone metabolic process	2.178e-04	0.000e+00	3.427e+00	3.740e-04
GO:0008207	GO:0008210	estrogen metabolic process	1.732e-03	0.000e+00	5.133e+00	7.354e-06
GO:0009992	GO:0009992	cellular water homeostasis	2.384e-05	0.000e+00	5.912e+00	1.224e-06
GO:0009992	GO:0046916	cellular transition metal ion homeostasis	4.557e-04	0.000e+00	3.224e+00	5.973e-04
GO:0009992	GO:0042989	sequestering of actin monomers	5.357e-04	0.000e+00	5.519e+00	3.029e-06
GO:0009992	GO:0035437	maintenance of protein localization in endoplasmic reticulum	4.447e-03	0.000e+00	4.567e+00	2.711e-05
GO:0009992	GO:0097494	regulation of vesicle size	7.405e-04	0.000e+00	5.519e+00	3.029e-06
GO:0009992	GO:0042310	vasoconstriction	8.377e-04	0.000e+00	4.529e+00	2.959e-05
GO:0009992	GO:0097746	blood vessel diameter maintenance	7.204e-04	0.000e+00	4.151e+00	7.056e-05
GO:0009992	GO:0003018	vascular process in circulatory system	5.128e-04	0.000e+00	4.084e+00	8.245e-05
GO:0009992	GO:0035296	regulation of tube diameter	7.204e-04	0.000e+00	4.148e+00	7.110e-05
GO:0009992	GO:0035150	regulation of tube size	7.204e-04	0.000e+00	4.130e+00	7.408e-05
GO:2000406	GO:2000406	positive regulation of T cell migration	2.394e-05	0.000e+00	5.163e+00	6.866e-06
GO:2000406	GO:2000404	regulation of T cell migration	5.254e-05	0.000e+00	5.000e+00	9.998e-06
GO:2000406	GO:0071675	regulation of mononuclear cell migration	2.437e-03	0.000e+00	4.538e+00	2.896e-05
GO:2000406	GO:2000401	regulation of lymphocyte migration	7.009e-03	0.000e+00	4.806e+00	1.564e-05
GO:2000406	GO:1903236	regulation of leukocyte tethering or rolling	1.331e-04	0.000e+00	5.706e+00	1.968e-06
GO:2000406	GO:1903238	positive regulation of leukocyte tethering or rolling	2.045e-03	0.000e+00	6.109e+00	7.782e-07
GO:2000406	GO:1904996	positive regulation of leukocyte adhesion to vascular endothelial cell	5.068e-03	0.000e+00	5.481e+00	3.303e-06
GO:2000406	GO:1904994	regulation of leukocyte adhesion to vascular endothelial cell	3.222e-03	0.000e+00	5.309e+00	4.909e-06
GO:2000406	GO:1904995	negative regulation of leukocyte adhesion to vascular endothelial cell	1.154e-02	0.000e+00	6.037e+00	9.193e-07
GO:2000406	GO:2000389	regulation of neutrophil extravasation	1.278e-02	0.000e+00	5.897e+00	1.266e-06
GO:2000406	GO:1903975	regulation of glial cell migration	4.288e-04	0.000e+00	5.677e+00	2.106e-06
GO:2000406	GO:1903977	positive regulation of glial cell migration	7.083e-03	0.000e+00	6.002e+00	9.956e-07
GO:2000406	GO:1904141	positive regulation of microglial cell migration	4.730e-03	0.000e+00	6.329e+00	4.692e-07
GO:2000406	GO:1904139	regulation of microglial cell migration	4.730e-03	0.000e+00	6.070e+00	8.506e-07
GO:2000406	GO:0090051	negative regulation of cell migration involved in sprouting angiogenesis	7.405e-04	0.000e+00	5.487e+00	3.261e-06
GO:2000406	GO:0090049	regulation of cell migration involved in sprouting angiogenesis	1.422e-02	0.000e+00	5.063e+00	8.651e-06
GO:2000406	GO:1901623	regulation of lymphocyte chemotaxis	1.105e-03	0.000e+00	5.347e+00	4.497e-06
GO:2000406	GO:0010819	regulation of T cell chemotaxis	7.160e-03	0.000e+00	5.574e+00	2.666e-06
GO:2000406	GO:0010820	positive regulation of T cell chemotaxis	7.160e-03	0.000e+00	5.610e+00	2.453e-06
GO:2000406	GO:2000510	positive regulation of dendritic cell chemotaxis	1.399e-03	0.000e+00	5.826e+00	1.491e-06
GO:2000406	GO:2000508	regulation of dendritic cell chemotaxis	2.330e-03	0.000e+00	5.814e+00	1.533e-06
GO:1900226	GO:1900226	negative regulation of NLRP3 inflammasome complex assembly	2.412e-05	0.000e+00	6.064e+00	8.621e-07
GO:1900226	GO:1900225	regulation of NLRP3 inflammasome complex assembly	4.144e-04	0.000e+00	5.612e+00	2.445e-06
GO:1900226	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	1.160e-02	0.000e+00	5.857e+00	1.389e-06
GO:1900226	GO:1905809	negative regulation of synapse organization	6.724e-04	0.000e+00	5.466e+00	3.418e-06
GO:1900226	GO:0051964	negative regulation of synapse assembly	5.935e-03	0.000e+00	5.562e+00	2.739e-06
GO:1900226	GO:0033623	regulation of integrin activation	6.017e-05	0.000e+00	5.585e+00	2.598e-06
GO:1900226	GO:0033625	positive regulation of integrin activation	1.227e-03	0.000e+00	5.900e+00	1.259e-06
GO:0097164	GO:0097164	ammonium ion metabolic process	2.413e-05	0.000e+00	3.719e+00	1.910e-04
GO:0097164	GO:0019695	choline metabolic process	7.524e-05	0.000e+00	3.748e+00	1.788e-04
GO:0097164	GO:0042426	choline catabolic process	3.760e-04	0.000e+00	5.366e+00	4.307e-06
GO:0097164	GO:0001692	histamine metabolic process	2.525e-04	0.000e+00	5.826e+00	1.491e-06
GO:0097164	GO:0052803	imidazole-containing compound metabolic process	1.721e-04	0.000e+00	5.825e+00	1.495e-06
GO:0097164	GO:0052805	imidazole-containing compound catabolic process	1.603e-03	0.000e+00	6.580e+00	2.632e-07
GO:0044062	GO:0044062	regulation of excretion	2.598e-05	0.000e+00	5.675e+00	2.113e-06
GO:0044062	GO:0035813	regulation of renal sodium excretion	7.240e-05	0.000e+00	6.028e+00	9.384e-07
GO:0044062	GO:0035815	positive regulation of renal sodium excretion	4.037e-04	0.000e+00	6.163e+00	6.866e-07
GO:0044062	GO:0051048	negative regulation of secretion	1.931e-04	0.000e+00	4.440e+00	3.634e-05
GO:0044062	GO:1903531	negative regulation of secretion by cell	2.702e-03	0.000e+00	4.475e+00	3.349e-05
GO:0044062	GO:0014062	regulation of serotonin secretion	7.163e-03	0.000e+00	6.248e+00	5.646e-07
GO:0044062	GO:0060123	regulation of growth hormone secretion	8.636e-03	0.000e+00	5.753e+00	1.766e-06
GO:0002763	GO:0002763	positive regulation of myeloid leukocyte differentiation	2.598e-05	0.000e+00	4.901e+00	1.256e-05
GO:0002763	GO:0045639	positive regulation of myeloid cell differentiation	6.525e-04	0.000e+00	4.640e+00	2.293e-05
GO:0002763	GO:0045672	positive regulation of osteoclast differentiation	1.573e-04	0.000e+00	5.252e+00	5.600e-06
GO:0002763	GO:0045670	regulation of osteoclast differentiation	1.172e-03	0.000e+00	4.840e+00	1.445e-05
GO:0002763	GO:0002761	regulation of myeloid leukocyte differentiation	6.643e-04	0.000e+00	4.553e+00	2.801e-05
GO:0002763	GO:0030852	regulation of granulocyte differentiation	8.662e-03	0.000e+00	5.318e+00	4.806e-06
GO:0002763	GO:1902107	positive regulation of leukocyte differentiation	3.847e-05	0.000e+00	4.435e+00	3.673e-05
GO:0002763	GO:1903708	positive regulation of hemopoiesis	4.223e-04	0.000e+00	4.435e+00	3.673e-05
GO:0002763	GO:1904760	regulation of myofibroblast differentiation	7.515e-04	0.000e+00	6.133e+00	7.362e-07
GO:0002763	GO:0045667	regulation of osteoblast differentiation	6.755e-03	0.000e+00	4.604e+00	2.487e-05
GO:0002763	GO:0031650	regulation of heat generation	8.767e-03	0.000e+00	5.768e+00	1.705e-06
GO:0002763	GO:0040019	positive regulation of embryonic development	1.015e-02	0.000e+00	5.399e+00	3.986e-06
GO:0002763	GO:2001214	positive regulation of vasculogenesis	1.097e-02	0.000e+00	5.768e+00	1.705e-06
GO:0002763	GO:1905207	regulation of cardiocyte differentiation	1.142e-02	0.000e+00	5.072e+00	8.465e-06
GO:0002763	GO:0048505	regulation of timing of cell differentiation	1.687e-02	0.000e+00	5.646e+00	2.262e-06
GO:0002763	GO:0040034	regulation of development, heterochronic	1.338e-02	0.000e+00	5.138e+00	7.286e-06
GO:0002763	GO:0045651	positive regulation of macrophage differentiation	3.452e-04	0.000e+00	5.577e+00	2.651e-06
GO:0002763	GO:0045649	regulation of macrophage differentiation	2.934e-03	0.000e+00	5.399e+00	3.994e-06
GO:0002763	GO:0010718	positive regulation of epithelial to mesenchymal transition	3.371e-03	0.000e+00	5.001e+00	9.975e-06
GO:0002763	GO:0010717	regulation of epithelial to mesenchymal transition	5.916e-03	0.000e+00	4.721e+00	1.902e-05
GO:0002763	GO:1905007	positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation	1.806e-02	0.000e+00	6.109e+00	7.782e-07
GO:0002763	GO:1905005	regulation of epithelial to mesenchymal transition involved in endocardial cushion formation	1.806e-02	0.000e+00	5.990e+00	1.022e-06
GO:0002763	GO:0030501	positive regulation of bone mineralization	6.492e-03	0.000e+00	4.958e+00	1.103e-05
GO:0002763	GO:0070169	positive regulation of biomineral tissue development	2.084e-02	0.000e+00	4.875e+00	1.334e-05
GO:0002763	GO:0045778	positive regulation of ossification	1.892e-02	0.000e+00	4.843e+00	1.436e-05
GO:0032330	GO:0032330	regulation of chondrocyte differentiation	2.613e-05	0.000e+00	4.874e+00	1.336e-05
GO:0032330	GO:0061035	regulation of cartilage development	3.171e-04	0.000e+00	4.663e+00	2.174e-05
GO:0032330	GO:0032331	negative regulation of chondrocyte differentiation	3.258e-04	0.000e+00	5.333e+00	4.646e-06
GO:0032330	GO:0061036	positive regulation of cartilage development	1.431e-03	0.000e+00	5.044e+00	9.044e-06
GO:0032330	GO:0045766	positive regulation of angiogenesis	1.317e-03	0.000e+00	4.477e+00	3.333e-05
GO:0032330	GO:1904018	positive regulation of vasculature development	1.862e-03	0.000e+00	4.477e+00	3.334e-05
GO:0032330	GO:1901532	regulation of hematopoietic progenitor cell differentiation	1.407e-04	0.000e+00	5.026e+00	9.430e-06
GO:0032330	GO:1905456	regulation of lymphoid progenitor cell differentiation	4.807e-04	0.000e+00	5.714e+00	1.934e-06
GO:0032330	GO:2000973	regulation of pro-B cell differentiation	2.898e-04	0.000e+00	5.842e+00	1.438e-06
GO:0032330	GO:1901533	negative regulation of hematopoietic progenitor cell differentiation	5.211e-04	0.000e+00	5.729e+00	1.865e-06
GO:0002517	GO:0002517	T cell tolerance induction	2.679e-05	0.000e+00	6.484e+00	3.281e-07
GO:0002517	GO:0002507	tolerance induction	6.143e-05	0.000e+00	5.570e+00	2.693e-06
GO:0002517	GO:0002249	lymphocyte anergy	4.425e-04	0.000e+00	8.419e+00	3.815e-09
GO:1904706	GO:1904706	negative regulation of vascular associated smooth muscle cell proliferation	2.730e-05	0.000e+00	5.444e+00	3.597e-06
GO:1904706	GO:1904705	regulation of vascular associated smooth muscle cell proliferation	2.803e-04	0.000e+00	5.073e+00	8.457e-06
GO:1904706	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	6.407e-03	0.000e+00	5.313e+00	4.860e-06
GO:1904706	GO:0048662	negative regulation of smooth muscle cell proliferation	1.989e-04	0.000e+00	5.001e+00	9.971e-06
GO:1904706	GO:0048660	regulation of smooth muscle cell proliferation	1.372e-02	0.000e+00	4.635e+00	2.316e-05
GO:2001293	GO:2001293	malonyl-CoA metabolic process	2.730e-05	0.000e+00	3.477e+00	3.335e-04
GO:2001293	GO:0006637	acyl-CoA metabolic process	3.933e-03	0.000e+00	2.925e+00	1.188e-03
GO:2001293	GO:0006084	acetyl-CoA metabolic process	1.006e-04	0.000e+00	3.156e+00	6.982e-04
GO:2001293	GO:0035383	thioester metabolic process	3.933e-03	0.000e+00	2.925e+00	1.188e-03
GO:2001293	GO:0006104	succinyl-CoA metabolic process	4.871e-04	0.000e+00	5.330e+00	4.673e-06
GO:2001293	GO:0015936	coenzyme A metabolic process	8.882e-04	0.000e+00	2.697e+00	2.009e-03
GO:0060713	GO:0060713	labyrinthine layer morphogenesis	2.860e-05	0.000e+00	6.402e+00	3.967e-07
GO:0060713	GO:0048704	embryonic skeletal system morphogenesis	1.657e-03	0.000e+00	4.575e+00	2.659e-05
GO:0060713	GO:0048557	embryonic digestive tract morphogenesis	6.451e-05	0.000e+00	5.397e+00	4.013e-06
GO:0060713	GO:0048596	embryonic camera-type eye morphogenesis	1.091e-02	0.000e+00	5.394e+00	4.040e-06
GO:0002282	GO:0002282	microglial cell activation involved in immune response	2.892e-05	0.000e+00	6.385e+00	4.120e-07
GO:0002282	GO:0001774	microglial cell activation	4.240e-04	0.000e+00	5.493e+00	3.216e-06
GO:0002282	GO:0002281	macrophage activation involved in immune response	7.394e-05	0.000e+00	5.445e+00	3.593e-06
GO:0002282	GO:0042116	macrophage activation	1.610e-04	0.000e+00	5.001e+00	9.983e-06
GO:0048713	GO:0048713	regulation of oligodendrocyte differentiation	2.982e-05	0.000e+00	5.212e+00	6.134e-06
GO:0048713	GO:0048714	positive regulation of oligodendrocyte differentiation	6.286e-04	0.000e+00	5.524e+00	2.991e-06
GO:0048713	GO:0045685	regulation of glial cell differentiation	2.854e-04	0.000e+00	4.916e+00	1.213e-05
GO:0048713	GO:0048715	negative regulation of oligodendrocyte differentiation	2.459e-04	0.000e+00	5.633e+00	2.331e-06
GO:0048713	GO:0045686	negative regulation of glial cell differentiation	6.537e-03	0.000e+00	5.324e+00	4.745e-06
GO:0048713	GO:0014014	negative regulation of gliogenesis	5.474e-04	0.000e+00	5.209e+00	6.183e-06
GO:0032354	GO:0032354	response to follicle-stimulating hormone	3.068e-05	0.000e+00	5.903e+00	1.251e-06
GO:0032354	GO:0071372	cellular response to follicle-stimulating hormone stimulus	2.911e-03	0.000e+00	6.031e+00	9.308e-07
GO:0032354	GO:0034698	response to gonadotropin	3.061e-04	0.000e+00	5.530e+00	2.952e-06
GO:0032354	GO:0071371	cellular response to gonadotropin stimulus	8.376e-03	0.000e+00	5.671e+00	2.132e-06
GO:0032354	GO:0034699	response to luteinizing hormone	6.989e-03	0.000e+00	6.450e+00	3.548e-07
GO:0048333	GO:0048333	mesodermal cell differentiation	3.185e-05	0.000e+00	5.386e+00	4.116e-06
GO:0048333	GO:1903131	mononuclear cell differentiation	7.566e-04	0.000e+00	3.504e+00	3.133e-04
GO:0048333	GO:0001837	epithelial to mesenchymal transition	1.001e-02	0.000e+00	4.755e+00	1.757e-05
